unit,district,department,year,n_young,n_candidates,young_18to29_participation,young_18to29_register,total_electors,n_young_mayor,n_candidates_mayor,n_le29,n_le30,n_le31,n_le32,n_le33,n_le34,n_le35,youth_cand_share,youth_turnout_18to29,youth_share,log_total_electors,post,youth_cand_share_mayor,youth_cand_share_le29,youth_cand_share_le30,youth_cand_share_le31,youth_cand_share_le32,youth_cand_share_le33,youth_cand_share_le34,youth_cand_share_le35
7_21,GENERAL ARTIGAS,ITAPUA,2021,6,24,1303,2508,9862,0,2,3,3,3,5,6,6,6,0.25,0.5195374800637959,0.2543094706955993,9.196444266784072,1,0,0.125,0.125,0.125,0.20833333333333334,0.25,0.25,0.25
7_23,GENERAL DELGADO,ITAPUA,2015,14,45,738,1235,5253,2,3,6,7,10,11,12,12,14,0.3111111111111111,0.5975708502024292,0.23510375023795926,8.566554620953962,0,0.6666666666666666,0.13333333333333333,0.15555555555555556,0.2222222222222222,0.24444444444444444,0.26666666666666666,0.26666666666666666,0.3111111111111111
7_23,GENERAL DELGADO,ITAPUA,2021,12,45,955,1443,6005,1,3,4,5,6,7,8,10,12,0.26666666666666666,0.6618156618156619,0.24029975020815986,8.700347734514084,1,0.3333333333333333,0.08888888888888889,0.1111111111111111,0.13333333333333333,0.15555555555555556,0.17777777777777778,0.2222222222222222,0.26666666666666666
7_25,HOHENAU,ITAPUA,2015,10,60,1311,2416,7359,0,2,3,3,5,6,8,10,10,0.16666666666666666,0.5426324503311258,0.3283054762875391,8.903679332926599,0,0,0.05,0.05,0.08333333333333333,0.1,0.13333333333333333,0.16666666666666666,0.16666666666666666
7_25,HOHENAU,ITAPUA,2021,24,72,1689,3592,9383,0,3,14,14,14,16,18,20,24,0.3333333333333333,0.47021158129175944,0.38281999360545665,9.146654820290049,1,0,0.19444444444444445,0.19444444444444445,0.19444444444444445,0.2222222222222222,0.25,0.2777777777777778,0.3333333333333333
7_27,ITAPUA POTY,ITAPUA,2015,19,48,1397,2736,8582,0,3,6,10,10,12,13,17,19,0.3958333333333333,0.5105994152046783,0.3188068049405733,9.05742226555147,0,0,0.125,0.20833333333333334,0.20833333333333334,0.25,0.2708333333333333,0.3541666666666667,0.3958333333333333
7_27,ITAPUA POTY,ITAPUA,2021,15,60,1611,3177,10212,0,2,9,10,13,13,14,14,15,0.25,0.5070821529745042,0.3111045828437133,9.231318778361375,1,0,0.15,0.16666666666666666,0.21666666666666667,0.21666666666666667,0.23333333333333334,0.23333333333333334,0.25
7_29,JESUS,ITAPUA,2015,14,48,863,1257,4369,1,3,5,6,8,9,10,12,14,0.2916666666666667,0.6865552903739062,0.287708857862211,8.382289428951436,0,0.3333333333333333,0.10416666666666667,0.125,0.16666666666666666,0.1875,0.20833333333333334,0.25,0.2916666666666667
7_29,JESUS,ITAPUA,2021,22,63,856,1385,5005,0,5,12,13,16,16,17,20,22,0.3492063492063492,0.6180505415162455,0.27672327672327673,8.518192691749322,1,0,0.19047619047619047,0.20634920634920634,0.25396825396825395,0.25396825396825395,0.2698412698412698,0.31746031746031744,0.3492063492063492
7_3,BELLA VISTA,ITAPUA,2015,17,48,1008,1890,6442,0,4,8,8,10,13,15,17,17,0.3541666666666667,0.5333333333333333,0.29338714684880474,8.770594329891145,0,0,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.2708333333333333,0.3125,0.3541666666666667,0.3541666666666667
7_3,BELLA VISTA,ITAPUA,2021,9,36,975,2022,7068,0,1,4,6,7,7,7,9,9,0.25,0.4821958456973294,0.2860780984719864,8.863332833439587,1,0,0.1111111111111111,0.16666666666666666,0.19444444444444445,0.19444444444444445,0.19444444444444445,0.25,0.25
7_31,JOSE LEANDRO OVIEDO,ITAPUA,2015,5,27,1142,1640,5091,0,2,2,2,2,2,2,3,5,0.18518518518518517,0.6963414634146341,0.32213710469455903,8.535229553902337,0,0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.18518518518518517
7_31,JOSE LEANDRO OVIEDO,ITAPUA,2021,5,24,597,1089,4493,1,2,3,3,4,4,4,5,5,0.20833333333333334,0.5482093663911846,0.24237703093701313,8.41027590907016,1,0.5,0.125,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.20833333333333334
7_33,LA PAZ,ITAPUA,2015,5,18,420,706,2297,0,2,3,3,3,3,4,4,5,0.2777777777777778,0.5949008498583569,0.30735742272529387,7.739359202689098,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2777777777777778
7_33,LA PAZ,ITAPUA,2021,3,18,487,876,2709,0,1,2,3,3,3,3,3,3,0.16666666666666666,0.5559360730593608,0.3233665559246955,7.904334842085095,1,0,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
7_35,MAYOR JULIO DIONISIO OTAÑO,ITAPUA,2015,13,48,1582,3092,9106,0,3,6,7,9,9,9,13,13,0.2708333333333333,0.5116429495472187,0.3395563364814408,9.116688815894728,0,0,0.125,0.14583333333333334,0.1875,0.1875,0.1875,0.2708333333333333,0.2708333333333333
7_35,MAYOR JULIO DIONISIO OTAÑO,ITAPUA,2021,16,60,2391,3930,11481,0,2,6,8,10,11,12,13,16,0.26666666666666666,0.6083969465648855,0.34230467729291875,9.348448774093812,1,0,0.1,0.13333333333333333,0.16666666666666666,0.18333333333333332,0.2,0.21666666666666667,0.26666666666666666
7_37,NATALIO,ITAPUA,2015,16,60,1495,3933,12485,2,3,10,10,11,11,13,14,16,0.26666666666666666,0.38011695906432746,0.31501802162595116,9.432283202713874,0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.18333333333333332,0.18333333333333332,0.21666666666666667,0.23333333333333334,0.26666666666666666
7_37,NATALIO,ITAPUA,2021,23,84,2331,5440,15352,2,6,5,7,10,15,16,20,23,0.27380952380952384,0.4284926470588235,0.3543512245961438,9.639001037687535,1,0.3333333333333333,0.05952380952380952,0.08333333333333333,0.11904761904761904,0.17857142857142858,0.19047619047619047,0.23809523809523808,0.27380952380952384
7_39,NUEVA ALBORADA,ITAPUA,2015,7,24,1213,1626,4715,1,2,5,5,6,7,7,7,7,0.2916666666666667,0.7460024600246002,0.34485683987274657,8.458504195067558,0,0.5,0.20833333333333334,0.20833333333333334,0.25,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667
7_39,NUEVA ALBORADA,ITAPUA,2021,15,36,1168,1803,5556,1,3,7,9,10,11,12,14,15,0.4166666666666667,0.6478092068774265,0.32451403887688984,8.622633703874234,1,0.3333333333333333,0.19444444444444445,0.25,0.2777777777777778,0.3055555555555556,0.3333333333333333,0.3888888888888889,0.4166666666666667
7_41,OBLIGADO,ITAPUA,2015,13,48,1207,2272,7727,0,2,7,8,8,10,11,13,13,0.2708333333333333,0.53125,0.2940339070790734,8.952475967933584,0,0,0.14583333333333334,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.22916666666666666,0.2708333333333333,0.2708333333333333
7_41,OBLIGADO,ITAPUA,2021,8,36,1656,2969,9713,0,2,5,5,5,6,7,7,8,0.2222222222222222,0.5577635567531155,0.30567280963656956,9.18122047340233,1,0,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.16666666666666666,0.19444444444444445,0.19444444444444445,0.2222222222222222
