year,department_id,district_id,department,district,youth_turnout_18to29,youth_turnout_female,youth_turnout_male,young_18to29_register,young_18to29_participation,n_candidates,n_young,n_young_30,n_young_female,n_young_male,n_female,youth_cand_share,youth_cand_share_30,young_female_share,young_male_share,female_cand_share,mean_cand_age,n_candidates_mayor,n_young_mayor,n_female_mayor,youth_cand_share_mayor,female_cand_share_mayor,mean_cand_age_mayor,total_electors,log_total_electors,youth_share,n_le29,n_le30,n_le31,n_le32,n_le33,n_le34,n_le35
2006,2,2_5,SAN PEDRO,CAPIIBARY,0.5253080985915493,0.5191693290734825,0.5296324081020255,4544,2387,60,22,14,9,13,14,0.36666666666666664,0.23333333333333334,0.15,0.21666666666666667,0.23333333333333334,40.266666666666666,5,0,0,0,0,42.8,13828,9.534450801041515,0.32860862019091697,13,14,16,17,18,20,22
2006,2,2_7,SAN PEDRO,CHORE,0.4041318477251625,0.41486557722720085,0.3956864371630029,4308,1741,48,14,9,5,9,12,0.2916666666666667,0.1875,0.10416666666666667,0.1875,0.25,42.333333333333336,4,0,1,0,0.25,43.5,15698,9.66128859468676,0.27442986367690153,6,9,11,12,12,13,14
2006,2,2_9,SAN PEDRO,GENERAL ELIZARDO AQUINO,0.32246724193032916,0.34767025089605735,0.3021914648212226,3129,1009,36,11,4,2,9,6,0.3055555555555556,0.1111111111111111,0.05555555555555555,0.25,0.16666666666666666,43.75,2,0,0,0,0,40,11209,9.324472306021095,0.279150682487287,3,4,6,6,9,9,11
2006,2,2_11,SAN PEDRO,GENERAL FRANCISCO ISIDORO RESQUIN,0.5247977488568414,0.5131467345207803,0.5330528846153846,2843,1492,48,11,7,2,9,10,0.22916666666666666,0.14583333333333334,0.041666666666666664,0.1875,0.20833333333333334,45.104166666666664,4,2,0,0.5,0,36,9721,9.18204377282107,0.2924596234955252,5,7,8,10,10,11,11
2006,2,2_13,SAN PEDRO,GUAJAYVI,0.40457804743519027,0.4114521841794569,0.39855072463768115,3626,1467,48,12,8,5,7,13,0.25,0.16666666666666666,0.10416666666666667,0.14583333333333334,0.2708333333333333,43.854166666666664,3,1,0,0.3333333333333333,0,39,12291,9.416622566214981,0.29501261085347,7,8,10,10,11,11,12
2006,2,2_15,SAN PEDRO,ITACURUBI DEL ROSARIO,0.36620644312952005,0.3651226158038147,0.36721728081321475,1521,557,36,12,7,6,6,11,0.3333333333333333,0.19444444444444445,0.16666666666666666,0.16666666666666666,0.3055555555555556,43.111111111111114,2,0,0,0,0,47.5,6564,8.789355452209982,0.2317184643510055,5,7,7,10,10,10,12
2006,2,2_17,SAN PEDRO,LIMA,0.466773418734988,0.4967213114754098,0.4381846635367762,1249,583,36,10,5,5,5,10,0.2777777777777778,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.2777777777777778,44.77777777777778,3,0,0,0,0,41.333333333333336,4749,8.465689348549121,0.26300273741840385,4,5,6,8,9,10,10
2006,2,2_19,SAN PEDRO,NUEVA GERMANIA,0.5387596899224806,0.53125,0.5450236966824644,774,417,36,12,4,4,8,11,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3055555555555556,42.416666666666664,3,2,1,0.6666666666666666,0.3333333333333333,35.333333333333336,2930,7.982757702011113,0.2641638225255973,4,4,5,8,9,11,12
2006,2,2_21,SAN PEDRO,SAN ESTANISLAO,0.3363507277245296,0.361384335154827,0.3125649013499481,5634,1895,48,14,9,5,9,11,0.2916666666666667,0.1875,0.10416666666666667,0.1875,0.22916666666666666,43.5,4,0,0,0,0,52.25,18857,9.844639476726922,0.29877499071962665,8,9,10,11,13,14,14
2006,2,2_23,SAN PEDRO,SAN PABLO,0.5892597968069666,0.638095238095238,0.5481283422459893,689,406,36,14,9,4,10,10,0.3888888888888889,0.25,0.1111111111111111,0.2777777777777778,0.2777777777777778,40.22222222222222,4,0,1,0,0.25,47,2172,7.683403681053826,0.31721915285451197,8,9,11,12,14,14,14
2006,2,2_24,SAN PEDRO,SANTA ROSA DEL AGUARAY,0.4318262726949092,0.4438291139240506,0.42200647249190937,2809,1213,45,10,7,1,9,10,0.2222222222222222,0.15555555555555556,0.022222222222222223,0.2,0.2222222222222222,43.53333333333333,4,0,1,0,0.25,44.75,8706,9.071767722112243,0.3226510452561452,7,7,7,7,9,10,10
2006,2,2_25,SAN PEDRO,TACUATI,0.5318471337579618,0.5590361445783133,0.5104364326375711,942,501,36,9,2,4,5,12,0.25,0.05555555555555555,0.1111111111111111,0.1388888888888889,0.3333333333333333,44.97222222222222,2,0,0,0,0,52,3429,8.14002395246292,0.2747156605424322,2,2,3,3,4,5,9
2006,2,2_27,SAN PEDRO,UNION,0.5618838992332968,0.5974358974358974,0.5353728489483748,913,513,27,7,3,4,3,11,0.25925925925925924,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.4074074074074074,44.25925925925926,3,0,1,0,0.3333333333333333,46.666666666666664,3233,8.081165777725433,0.28240024744819053,3,3,6,6,7,7,7
2006,2,2_29,SAN PEDRO,VILLA DEL ROSARIO,0.36370597243491576,0.39221556886227543,0.3338557993730408,1306,475,36,12,8,6,6,14,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.3888888888888889,42.861111111111114,3,1,0,0.3333333333333333,0,43,5740,8.655214489313613,0.22752613240418118,7,8,8,8,10,12,12
2006,2,2_31,SAN PEDRO,YATAITY DEL NORTE,0.46357308584686774,0.4707692307692308,0.4576271186440678,2155,999,27,6,2,0,6,7,0.2222222222222222,0.07407407407407407,0,0.2222222222222222,0.25925925925925924,47.148148148148145,3,1,0,0.3333333333333333,0,44.333333333333336,6964,8.848509300888079,0.30944859276278003,2,2,2,2,3,6,6
2006,2,2_32,SAN PEDRO,YRYBUCUA,0.5068163592622293,0.5037593984962406,0.509090909090909,1247,632,27,8,5,5,3,5,0.2962962962962963,0.18518518518518517,0.18518518518518517,0.1111111111111111,0.18518518518518517,41.51851851851852,3,0,0,0,0,45,4041,8.304247465078474,0.30858698341994556,5,5,5,5,8,8,8
2006,3,3_0,CORDILLERA,CAACUPE,0.502652890254119,0.5213675213675214,0.4846659364731654,7162,3600,84,24,12,14,10,35,0.2857142857142857,0.14285714285714285,0.16666666666666666,0.11904761904761904,0.4166666666666667,44.083333333333336,4,0,2,0,0.5,47.5,23652,10.07120295694072,0.3028073735836293,7,12,14,16,18,20,24
2006,3,3_1,CORDILLERA,PRIMERO DE MARZO,0.3333333333333333,0.3150105708245243,0.3491773308957952,1020,340,18,2,1,1,1,4,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,46.44444444444444,2,1,0,0.5,0,45.5,3883,8.264363329731667,0.2626834921452485,1,1,1,1,2,2,2
2006,3,3_3,CORDILLERA,ALTOS,0.5993200582807188,0.6068895643363729,0.5923507462686567,2059,1234,36,10,6,3,7,10,0.2777777777777778,0.16666666666666666,0.08333333333333333,0.19444444444444445,0.2777777777777778,40.583333333333336,3,0,0,0,0,56,6787,8.822764296703758,0.3033740975394136,6,6,7,9,10,10,10
2006,3,3_5,CORDILLERA,ARROYOS Y ESTEROS,0.4193943101866014,0.4598684210526316,0.38421955403087477,3269,1371,27,6,1,2,4,5,0.2222222222222222,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.18518518518518517,47.592592592592595,3,0,0,0,0,52.333333333333336,11708,9.368027647811777,0.27921079603689786,1,1,2,4,5,5,6
2006,3,3_7,CORDILLERA,ATYRA,0.47624076029567053,0.486231884057971,0.4668035592060233,2841,1353,60,21,12,8,13,20,0.35,0.2,0.13333333333333333,0.21666666666666667,0.3333333333333333,42.016666666666666,4,1,1,0.25,0.25,46.75,8706,9.071767722112243,0.3263266712611992,11,12,13,13,18,20,21
2006,3,3_9,CORDILLERA,CARAGUATAY,0.42885278188084686,0.45010615711252655,0.41046831955922863,2031,871,45,18,15,8,10,14,0.4,0.3333333333333333,0.17777777777777778,0.2222222222222222,0.3111111111111111,42.733333333333334,3,0,1,0,0.3333333333333333,50,7317,8.89795568688403,0.2775727757277573,14,15,16,16,17,18,18
2006,3,3_11,CORDILLERA,EMBOSCADA,0.5985592665356909,0.65234375,0.544137022397892,1527,914,27,7,6,2,5,7,0.25925925925925924,0.2222222222222222,0.07407407407407407,0.18518518518518517,0.25925925925925924,45.44444444444444,3,0,0,0,0,55,5935,8.688622307043769,0.2572872788542544,6,6,7,7,7,7,7
2006,3,3_13,CORDILLERA,EUSEBIO AYALA,0.45928705440900564,0.4706766917293233,0.44794007490636706,2665,1224,47,16,9,3,13,17,0.3404255319148936,0.19148936170212766,0.06382978723404255,0.2765957446808511,0.3617021276595745,42.42553191489362,4,1,1,0.25,0.25,43.25,9911,9.201400530406708,0.2688931490263344,6,9,9,12,13,14,16
2006,3,3_15,CORDILLERA,ISLA PUCU,0.39412811387900354,0.4072164948453608,0.3800738007380074,1124,443,27,6,4,4,2,9,0.2222222222222222,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.3333333333333333,47.03703703703704,3,1,0,0.3333333333333333,0,43.333333333333336,4322,8.371473537066832,0.26006478482184175,4,4,5,5,5,5,6
2006,3,3_17,CORDILLERA,ITACURUBI DE LA CORDILLERA,0.6028968014484007,0.6204819277108434,0.585247883917775,1657,999,36,12,5,3,9,6,0.3333333333333333,0.1388888888888889,0.08333333333333333,0.25,0.16666666666666666,45.55555555555556,3,1,0,0.3333333333333333,0,45,6211,8.734077192559303,0.26678473675736597,4,5,7,8,8,11,12
2006,3,3_19,CORDILLERA,JUAN DE MENA,0.4081920903954802,0.3944954128440367,0.4199475065616798,708,289,36,8,5,1,7,7,0.2222222222222222,0.1388888888888889,0.027777777777777776,0.19444444444444445,0.19444444444444445,47.30555555555556,4,1,0,0.25,0,40.25,2946,7.988203597022576,0.24032586558044808,4,5,6,6,6,7,8
2006,3,3_21,CORDILLERA,LOMA GRANDE,0.5887353878852285,0.583732057416268,0.5927342256214149,941,554,36,10,6,3,7,9,0.2777777777777778,0.16666666666666666,0.08333333333333333,0.19444444444444445,0.25,45.166666666666664,3,2,1,0.6666666666666666,0.3333333333333333,38.666666666666664,2908,7.97522083865341,0.3235900962861073,6,6,6,7,7,7,10
2006,3,3_23,CORDILLERA,MBOCAYATY DEL YHAGUY,0.4098360655737705,0.42592592592592593,0.39705882352941174,732,300,27,9,4,4,5,6,0.3333333333333333,0.14814814814814814,0.14814814814814814,0.18518518518518517,0.2222222222222222,44.074074074074076,3,1,1,0.3333333333333333,0.3333333333333333,42.333333333333336,2618,7.870165946469845,0.27960275019098546,4,4,4,4,6,7,9
2006,3,3_25,CORDILLERA,NUEVA COLOMBIA,0.6163342830009497,0.6332046332046332,0.6,1053,649,27,3,3,0,3,6,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.2222222222222222,45.666666666666664,2,0,0,0,0,48.5,3023,8.014004994779459,0.34832947403241815,3,3,3,3,3,3,3
2006,3,3_27,CORDILLERA,PIRIBEBUY,0.5231846019247594,0.5504464285714286,0.49699828473413377,4572,2392,48,11,5,2,9,8,0.22916666666666666,0.10416666666666667,0.041666666666666664,0.1875,0.16666666666666666,47.020833333333336,3,0,0,0,0,53,15804,9.66801835153128,0.28929384965831434,5,5,6,8,8,9,11
2006,3,3_29,CORDILLERA,SAN BERNARDINO,0.6204245973645681,0.6228615863141524,0.6182572614107884,2732,1695,48,15,11,3,12,12,0.3125,0.22916666666666666,0.0625,0.25,0.25,41.020833333333336,3,0,0,0,0,48,8284,9.022081222515475,0.32979237083534524,9,11,12,12,14,14,15
2006,3,3_31,CORDILLERA,SAN JOSE OBRERO,0.41025641025641024,0.453804347826087,0.3713592233009709,780,320,27,8,5,3,5,4,0.2962962962962963,0.18518518518518517,0.1111111111111111,0.18518518518518517,0.14814814814814814,43.111111111111114,3,1,1,0.3333333333333333,0.3333333333333333,44.333333333333336,2772,7.927324360309794,0.2813852813852814,5,5,5,6,7,8,8
2006,3,3_33,CORDILLERA,SANTA ELENA,0.5397667020148462,0.5526315789473685,0.5277207392197125,943,509,27,12,7,4,8,4,0.4444444444444444,0.25925925925925924,0.14814814814814814,0.2962962962962963,0.14814814814814814,43.96296296296296,3,3,0,1,0,31,3226,8.078998258685154,0.29231246125232485,7,7,9,9,10,10,12
2006,3,3_35,CORDILLERA,TOBATI,0.3870967741935484,0.39609120521172636,0.37844611528822053,3131,1212,48,11,5,2,9,13,0.22916666666666666,0.10416666666666667,0.041666666666666664,0.1875,0.2708333333333333,44.229166666666664,4,1,0,0.25,0,41.5,11791,9.375091807576673,0.26554151471461285,3,5,6,6,8,8,11
2006,3,3_37,CORDILLERA,VALENZUELA,0.47155812036273703,0.46598639455782315,0.4768,1213,572,27,13,11,4,9,8,0.48148148148148145,0.4074074074074074,0.14814814814814814,0.3333333333333333,0.2962962962962963,40.851851851851855,3,1,0,0.3333333333333333,0,43.666666666666664,4276,8.360773272144936,0.28367633302151546,9,11,11,11,11,12,13
2006,4,4_0,GUAIRA,VILLARRICA,0.6100489106269453,0.6313475489118487,0.588261749494041,8996,5488,60,11,5,1,10,16,0.18333333333333332,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.26666666666666666,47.5,2,1,0,0.5,0,36,30534,10.326596095816887,0.29462238815746383,4,5,7,9,9,10,11
2006,4,4_1,GUAIRA,BORJA,0.449938195302843,0.47041420118343197,0.43524416135881105,1618,728,27,7,5,4,3,8,0.25925925925925924,0.18518518518518517,0.14814814814814814,0.1111111111111111,0.2962962962962963,43.18518518518518,3,2,0,0.6666666666666666,0,31.666666666666668,5116,8.540128162698734,0.31626270523846756,4,5,6,7,7,7,7
2006,4,4_3,GUAIRA,CAPITAN MAURICIO JOSE TROCHE,0.4915254237288136,0.5205655526992288,0.4638036809815951,1593,783,27,10,5,3,7,8,0.37037037037037035,0.18518518518518517,0.1111111111111111,0.25925925925925924,0.2962962962962963,41.111111111111114,3,1,1,0.3333333333333333,0.3333333333333333,43.666666666666664,4999,8.51699317141357,0.3186637327465493,4,5,7,9,10,10,10
2006,4,4_5,GUAIRA,CORONEL MARTINEZ,0.5432937181663837,0.5514184397163121,0.5358306188925082,1178,640,36,11,4,2,9,11,0.3055555555555556,0.1111111111111111,0.05555555555555555,0.25,0.3055555555555556,42.80555555555556,2,1,1,0.5,0.5,40.5,4288,8.363575702750637,0.27472014925373134,4,4,6,6,9,10,11
2006,4,4_7,GUAIRA,DOCTOR BOTRELL,0.494949494949495,0.4796747967479675,0.5057471264367817,297,147,36,12,6,1,11,6,0.3333333333333333,0.16666666666666666,0.027777777777777776,0.3055555555555556,0.16666666666666666,45.05555555555556,2,1,0,0.5,0,41,992,6.899723107284872,0.29939516129032256,5,6,7,9,10,12,12
2006,4,4_9,GUAIRA,FELIX PEREZ CARDOZO,0.49645390070921985,0.48975409836065575,0.503006012024048,987,490,27,7,4,2,5,5,0.25925925925925924,0.14814814814814814,0.07407407407407407,0.18518518518518517,0.18518518518518517,47.44444444444444,3,2,2,0.6666666666666666,0.6666666666666666,38,3310,8.104703468371108,0.29818731117824776,4,4,5,5,5,5,7
2006,4,4_11,GUAIRA,GENERAL EUGENIO ALEJANDRINO GARAY,0.4775707384403037,0.5158227848101266,0.4479804161566707,1449,692,36,9,4,4,5,6,0.25,0.1111111111111111,0.1111111111111111,0.1388888888888889,0.16666666666666666,45.19444444444444,3,1,1,0.3333333333333333,0.3333333333333333,43.333333333333336,4530,8.41847721847708,0.31986754966887415,4,4,5,7,8,9,9
2006,4,4_13,GUAIRA,INDEPENDENCIA,0.5376951179010295,0.5328746177370031,0.541397533763946,3011,1619,48,10,7,5,5,13,0.20833333333333334,0.14583333333333334,0.10416666666666667,0.10416666666666667,0.2708333333333333,42.166666666666664,3,1,1,0.3333333333333333,0.3333333333333333,37,10571,9.265869681768663,0.2848358717245294,7,7,8,8,9,10,10
2006,4,4_15,GUAIRA,ITAPE,0.5454545454545454,0.5839793281653747,0.5158730158730159,891,486,27,4,2,2,2,5,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.18518518518518517,49.96296296296296,2,0,0,0,0,58,3106,8.041091003708633,0.28686413393432064,2,2,2,2,2,2,4
2006,4,4_17,GUAIRA,ITURBE,0.4206948640483384,0.4473684210526316,0.4005305039787798,1324,557,36,16,9,4,12,12,0.4444444444444444,0.25,0.1111111111111111,0.3333333333333333,0.3333333333333333,39.44444444444444,3,2,0,0.6666666666666666,0,36,5350,8.584851839890053,0.2474766355140187,7,9,9,12,13,13,16
2006,4,4_19,GUAIRA,JOSE FASSARDI,0.6445714285714286,0.662269129287599,0.6310483870967742,875,564,45,12,8,1,11,15,0.26666666666666666,0.17777777777777778,0.022222222222222223,0.24444444444444444,0.3333333333333333,40.644444444444446,4,1,0,0.25,0,48.5,2825,7.946263643580541,0.30973451327433627,8,8,8,8,9,11,12
2006,4,4_21,GUAIRA,MBOCAYATY DEL GUAIRA,0.5761245674740484,0.6027633851468048,0.5493934142114385,1156,666,27,11,9,5,6,8,0.4074074074074074,0.3333333333333333,0.18518518518518517,0.2222222222222222,0.2962962962962963,40.407407407407405,2,0,0,0,0,58.5,3894,8.267192185932146,0.2968669748330765,8,9,9,11,11,11,11
2006,4,4_23,GUAIRA,NATALICIO TALAVERA,0.5533536585365854,0.5824915824915825,0.5292479108635098,656,363,36,3,2,2,1,9,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.25,49.583333333333336,3,1,0,0.3333333333333333,0,46.666666666666664,2333,7.75491027202143,0.28118302614659235,2,2,2,2,2,2,3
2006,4,4_25,GUAIRA,ÑUMI,0.5223004694835681,0.5468354430379747,0.5010940919037199,852,445,27,8,6,2,6,7,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.2222222222222222,0.25925925925925924,42.55555555555556,2,0,1,0,0.5,59.5,2581,7.855932199718614,0.3301046106160403,5,6,6,6,7,8,8
2006,4,4_27,GUAIRA,PASO YOBAI,0.3720666161998486,0.37406716417910446,0.37070063694267513,2642,983,36,14,7,6,8,12,0.3888888888888889,0.19444444444444445,0.16666666666666666,0.2222222222222222,0.3333333333333333,38.77777777777778,3,0,0,0,0,49.666666666666664,8753,9.077151777732437,0.3018393693590769,7,7,7,10,12,13,14
2006,4,4_29,GUAIRA,SAN SALVADOR,0.603125,0.6585365853658537,0.5580736543909348,640,386,27,6,2,2,4,6,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.2222222222222222,49.55555555555556,2,0,0,0,0,44,2128,7.662937850461535,0.3007518796992481,1,2,2,3,3,4,6
2006,4,4_31,GUAIRA,YATAITY DEL GUAIRA,0.6386363636363637,0.6697892271662763,0.609271523178808,880,562,45,15,9,7,8,19,0.3333333333333333,0.2,0.15555555555555556,0.17777777777777778,0.4222222222222222,42.37777777777778,2,1,0,0.5,0,45.5,2980,7.9996785794994505,0.2953020134228188,8,9,10,12,13,14,15
2006,5,5_0,CAAGUAZU,CORONEL OVIEDO,0.5371870397643593,0.5579133510167993,0.5164851339417132,13580,7295,48,20,11,6,14,14,0.4166666666666667,0.22916666666666666,0.125,0.2916666666666667,0.2916666666666667,40.270833333333336,3,2,0,0.6666666666666666,0,35.333333333333336,46748,10.752526753053047,0.2904937109608967,9,11,13,14,16,18,20
2006,5,5_1,CAAGUAZU,3 DE FEBRERO,0.5015105740181269,0.5080763582966226,0.49691991786447637,1655,830,36,6,3,1,5,4,0.16666666666666666,0.08333333333333333,0.027777777777777776,0.1388888888888889,0.1111111111111111,45.75,3,1,2,0.3333333333333333,0.6666666666666666,39.333333333333336,4934,8.503905297089302,0.3354276449128496,3,3,3,3,4,6,6
2006,5,5_3,CAAGUAZU,CAAGUAZU,0.31371614645381624,0.3056918547595682,0.3212907210128146,12591,3950,57,10,6,5,5,18,0.17543859649122806,0.10526315789473684,0.08771929824561403,0.08771929824561403,0.3157894736842105,43.36842105263158,4,1,0,0.25,0,44,44998,10.714373323320329,0.2798124361082715,6,6,6,9,10,10,10
2006,5,5_5,CAAGUAZU,CARAYAO,0.5570362473347548,0.563231850117096,0.5518590998043053,1876,1045,48,13,10,4,9,12,0.2708333333333333,0.20833333333333334,0.08333333333333333,0.1875,0.25,42.333333333333336,2,1,0,0.5,0,34.5,6454,8.772455372611907,0.29067245119305857,9,10,12,13,13,13,13
2006,5,5_7,CAAGUAZU,DOCTOR CECILIO BAEZ,0.4581589958158996,0.43665158371040724,0.4766536964980545,956,438,36,10,5,2,8,11,0.2777777777777778,0.1388888888888889,0.05555555555555555,0.2222222222222222,0.3055555555555556,42.166666666666664,2,0,0,0,0,47.5,3153,8.056109659545061,0.30320329844592453,3,5,6,8,9,9,10
2006,5,5_9,CAAGUAZU,DOCTOR JOSE EULOGIO ESTIGARRIBIA,0.5278303672851192,0.5526315789473685,0.5066666666666667,2641,1394,48,20,16,4,16,11,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.22916666666666666,40.395833333333336,2,0,0,0,0,45.5,8998,9.104757609401117,0.2935096688152923,13,16,17,17,18,19,20
2006,5,5_11,CAAGUAZU,DOCTOR JUAN MANUEL FRUTOS,0.41154562383612664,0.4412811387900356,0.38855255916345627,3222,1326,33,6,4,2,4,7,0.18181818181818182,0.12121212121212122,0.06060606060606061,0.12121212121212122,0.21212121212121213,44.90909090909091,2,1,0,0.5,0,40,10807,9.287949351303165,0.2981400943832701,4,4,5,6,6,6,6
2006,5,5_13,CAAGUAZU,JOSE DOMINGO OCAMPOS,0.5280373831775701,0.5302752293577981,0.5263870094722598,1284,678,18,5,2,1,4,4,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.2222222222222222,41.05555555555556,2,0,0,0,0,37,4189,8.340217320947035,0.30651706851277155,1,2,3,3,3,3,5
2006,5,5_15,CAAGUAZU,LA PASTORA,0.5656934306569343,0.5264550264550265,0.5990990990990991,822,465,36,11,5,3,8,6,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.2222222222222222,0.16666666666666666,42.611111111111114,3,1,0,0.3333333333333333,0,46,2510,7.828038032125829,0.32749003984063746,5,5,5,6,8,10,11
2006,5,5_17,CAAGUAZU,MARISCAL FRANCISCO SOLANO LOPEZ,0.4647887323943662,0.4745762711864407,0.4578313253012048,426,198,27,8,5,6,2,7,0.2962962962962963,0.18518518518518517,0.2222222222222222,0.07407407407407407,0.25925925925925924,41.111111111111114,3,0,0,0,0,47,1733,7.457609289715606,0.24581650317368725,5,5,6,6,7,8,8
2006,5,5_19,CAAGUAZU,NUEVA LONDRES,0.6986301369863014,0.7209302325581395,0.6778846153846154,803,561,36,17,12,8,9,13,0.4722222222222222,0.3333333333333333,0.2222222222222222,0.25,0.3611111111111111,41.916666666666664,2,0,0,0,0,58.5,2854,7.956476798036782,0.2813594954449895,11,12,13,16,17,17,17
2006,5,5_21,CAAGUAZU,RI 3 CORRALES,0.4022203245089667,0.38526315789473686,0.41379310344827586,1171,471,27,6,2,2,4,8,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.2962962962962963,42.888888888888886,3,0,0,0,0,43,3749,8.229244416735913,0.31234995998933046,2,2,2,3,6,6,6
2006,5,5_23,CAAGUAZU,RAUL ARSENIO OVIEDO,0.39232053422370616,0.3857707509881423,0.39710982658959537,2995,1175,48,13,7,6,7,13,0.2708333333333333,0.14583333333333334,0.125,0.14583333333333334,0.2708333333333333,41.895833333333336,3,1,0,0.3333333333333333,0,43.333333333333336,9335,9.141526055975824,0.3208355650776647,5,7,7,7,9,11,13
